image,label
0000120__0720__14_37_50_PC_______.png,papers
0000148__0720__14_20_28_PC_______.png,cables
0000241__0720__13_28_51_PC_______.png,bag
0032996__0704__19_48_46_PC____END.png,materials
0103_15_26_15_i15968_id798_cn1578065176872478000_thr960.Sg_bord .jpg,bag
0103_15_26_15_i15970_id802_cn1578065177055000000_thr931.In_bord .jpg,bag
0103_15_26_16_i15981_id824_cn1578065178130660000_thr951.In looks_different.jpg,no
0103_16_06_46_i40280_id1894_cn1578067608088507000_thr601.Out looks_different.jpg,no
0103_16_22_48_i49897_id2244_cn1578068570398560000_thr855.Out looks_different.jpg,materials
0103_16_27_03_i52441_id2298_cn1578068824303823000_thr995. crossing.jpg,materials
0103_16_27_05_i52467_id2337_cn1578068827561382000_thr798.In crossing.jpg,materials
0104_09_28_28_i665149_id7699_cn1578130108206525000_thr541.Out .jpg,no
0104_10_01_57_i685241_id8480_cn1578132122258606000_thr996.In looks_different.jpg,bag
0104_10_02_14_i685370_id8586_cn1578132141730258000_thr919.Sg_bord looks_different.jpg,no
0104_10_14_04_i692313_id9058_cn1578132842617453000_thr889.Out_bord looks_different.jpg,no
0104_10_17_05_i693989_id9357_cn1578133034972138000_thr965.Sgl .jpg,no
0104_10_17_10_i694007_id9379_cn1578133040904809000_thr808.In looks_different.jpg,no
0104_10_20_03_i695541_id9552_cn1578133218738515000_thr779.In .jpg,no
0104_10_20_08_i695555_id9602_cn1578133216271664000_thr969. .jpg,no
0104_10_20_29_i695598_id9695_cn1578133213484318000_thr797. looks_different.jpg,no
0104_10_23_50_i696402_id9900_cn1578133448280091000_thr805.In looks_different.jpg,no
0104_10_26_01_i696961_id10045_cn1578133570823332000_thr990. looks_different.jpg,backpack
0104_10_26_01_i696963_id10049_cn1578133570823332000_thr1000. .jpg,backpack
0104_10_26_01_i696970_id10066_cn1578133570823332000_thr996. looks_different.jpg,backpack
0104_10_26_04_i696977_id10092_cn1578133589269167000_thr991. looks_different.jpg,bag
0104_10_26_07_i696982_id10115_cn1578133585450112000_thr985. looks_different.jpg,bag
0104_10_26_10_i696985_id10136_cn1578133598389903000_thr967.Sgl looks_different.jpg,backpack
0104_10_26_10_i696986_id10142_cn1578133598478148000_thr892.Sgl .jpg,bag
0104_10_26_11_i696988_id10153_cn1578133589612020000_thr957. .jpg,no
0104_10_26_14_i696990_id10160_cn1578133589612020000_thr1000. .jpg,no
0104_10_26_14_i696990_id10163_cn1578133585450112000_thr992. looks_different.jpg,bag
0104_10_26_14_i696991_id10167_cn1578133603637180000_thr949.Sgl looks_different.jpg,bag
0104_10_26_14_i696993_id10174_cn1578133589612020000_thr998. looks_different.jpg,no
0104_10_26_25_i697005_id10226_cn1578133589612020000_thr931. .jpg,no
0104_10_26_25_i697006_id10230_cn1578133624025859000_thr879.In_bord looks_different.jpg,backpack
0104_10_26_25_i697007_id10233_cn1578133616259732000_thr922. .jpg,bag
0104_10_26_33_i697015_id10256_cn1578133589612020000_thr997.Out looks_different.jpg,no
0104_10_30_40_i697521_id10353_cn1578133865725576000_thr735.Sgl .jpg,materials
0104_10_30_42_i697526_id10354_cn1578133873488465000_thr1000.Sgl .jpg,bag
