image,label
0000148__0720__14_20_28_PC_______.png,cables
0000241__0720__13_28_51_PC_______.png,bag
0004044__0704__19_00_31__________.png,materials
0004057__0704__19_00_32_______END.png,materials
0019034__0716__19_56_28_PC_______.png,bag
0022891__0716__20_02_53_PC_______.png,materials
0089564__0704__21_23_02_PC____END.png,bag
0103_15_07_56_i4981_id276_cn1578064077907896000_thr540.In .jpg,no
0103_15_15_58_i9801_id752_cn1578064559994107000_thr505.In .jpg,materials
0103_15_16_01_i9832_id766_cn1578064562592794000_thr750.Out_bord .jpg,bag
0103_15_26_15_i15968_id798_cn1578065176872478000_thr960.Sg_bord .jpg,bag
0103_15_26_15_i15970_id802_cn1578065177055000000_thr931.In_bord .jpg,bag
0103_15_41_08_i24902_id1212_cn1578066070431687000_thr970.Sgl looks_different.jpg,materials
0103_15_41_09_i24906_id1214_cn1578066070792863000_thr989.Out looks_different.jpg,materials
0103_16_01_26_i37078_id1474_cn1578067287842037000_thr983.Out looks_different.jpg,materials
0103_16_06_46_i40280_id1894_cn1578067608088507000_thr601.Out looks_different.jpg,no
0103_16_15_09_i45304_id1946_cn1578068111095074000_thr968.Sg_bord .jpg,no
0103_16_19_06_i47670_id2043_cn1578068347670340000_thr959.Out looks_different.jpg,backpack
0103_16_22_44_i49856_id2203_cn1578068566432972000_thr987.Sgl looks_different.jpg,materials
0103_16_22_45_i49858_id2205_cn1578068566625583000_thr711.Sgl looks_different.jpg,materials
0103_16_22_46_i49872_id2219_cn1578068568024401000_thr978.Sgl looks_different.jpg,materials
0103_16_22_48_i49897_id2244_cn1578068570398560000_thr855.Out looks_different.jpg,materials
0103_16_22_48_i49898_id2245_cn1578068570599191000_thr697.In looks_different.jpg,backpack
0103_16_27_03_i52441_id2298_cn1578068824303823000_thr995. crossing.jpg,materials
0103_16_27_05_i52467_id2337_cn1578068827561382000_thr798.In crossing.jpg,materials
0103_20_20_47_i192650_id5164_cn1578082842238325000_thr604.Out .jpg,no
0104_07_11_32_i583016_id5710_cn1578121894634733000_thr921.Sgl .jpg,no
0104_09_28_28_i665149_id7699_cn1578130108206525000_thr541.Out .jpg,no
0104_10_01_56_i685233_id8465_cn1578132120529240000_thr971.Sgl looks_different.jpg,backpack
