[2020-09-16 15:58:15,573][werkzeug][INFO] -  * Running on http://127.0.0.1:8081/ (Press CTRL+C to quit)
[2020-09-16 15:58:25,739][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:25] "[37mGET /marked_image/undefined HTTP/1.1[0m" 200 -
[2020-09-16 15:58:25,764][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:25] "[37mGET /set_filter/none/all/none/no/none/none HTTP/1.1[0m" 200 -
[2020-09-16 15:58:25,788][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:25] "[37mGET /get_label_value_on_image/none/0914__08_46_22__i0403124__gcn0042630__0042630__person_____L2____.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:25,793][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:25] "[37mGET /marked_image/0914__08_46_22__i0403124__gcn0042630__0042630__person_____L2____.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:27,371][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:27] "[37mGET /set_filter/person/all/none/no/none/none HTTP/1.1[0m" 200 -
[2020-09-16 15:58:27,401][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:27] "[37mGET /get_label_value_on_image/none/0914__08_46_22__i0403124__gcn0042630__0042630__person_____L2____.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:28,463][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:28] "[37mGET /set_filter/person/to_check/none/no/none/none HTTP/1.1[0m" 200 -
[2020-09-16 15:58:28,467][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:28] "[37mGET /get_label_value_on_image/none/0114_14_09_01_i704333_id23288_tcn-23288_cn1579010944376610000_thr768.Sgl_.jpg HTTP/1.1[0m" 200 -
[2020-09-16 15:58:28,470][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:28] "[37mGET /marked_image/0114_14_09_01_i704333_id23288_tcn-23288_cn1579010944376610000_thr768.Sgl_.jpg HTTP/1.1[0m" 200 -
[2020-09-16 15:58:30,782][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:30] "[37mGET /set_filter/person/to_check/none/no/none/%3Cclear%3E%20or%20%3Cmulty%3E HTTP/1.1[0m" 200 -
[2020-09-16 15:58:30,791][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:30] "[37mGET /get_label_value_on_image/none/2019-08-31_11-08-15_id289_appears_way_area.jpg HTTP/1.1[0m" 200 -
[2020-09-16 15:58:30,811][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:30] "[37mGET /marked_image/2019-08-31_11-08-15_id289_appears_way_area.jpg HTTP/1.1[0m" 200 -
[2020-09-16 15:58:36,370][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:36] "[37mGET /get_label_value_on_image/none/2019-09-16_14-19-22_id61433__appears_.jpg HTTP/1.1[0m" 200 -
[2020-09-16 15:58:36,374][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:36] "[37mGET /marked_image/2019-09-16_14-19-22_id61433__appears_.jpg HTTP/1.1[0m" 200 -
[2020-09-16 15:58:37,522][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:37] "[37mGET /get_label_value_on_image/none/0429_14_28_49___i3664638___________________CR_TP1_ID1179477_CAM0_TP1_THR674_CN-1179477_TCN-1179477___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:37,527][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:37] "[37mGET /marked_image/0429_14_28_49___i3664638___________________CR_TP1_ID1179477_CAM0_TP1_THR674_CN-1179477_TCN-1179477___.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:38,130][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:38] "[37mGET /get_label_value_on_image/none/0506_07_21_10___i5___________________CR_TP1_ID1000000105_CAM0_TP1_THR650_CN-1000000105_TCN-1000000105_MN.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:38,138][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:38] "[37mGET /marked_image/0506_07_21_10___i5___________________CR_TP1_ID1000000105_CAM0_TP1_THR650_CN-1000000105_TCN-1000000105_MN.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:38,777][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:38] "[37mGET /get_label_value_on_image/none/0326_13_01_14___i82422_LOOK_CLR_TP1_ID26915_CAM0_TP1_THR847_CN1585227673441415000_TCN-26915.png HTTP/1.1[0m" 200 -
[2020-09-16 15:58:38,783][werkzeug][INFO] - 127.0.0.1 - - [16/Sep/2020 15:58:38] "[37mGET /marked_image/0326_13_01_14___i82422_LOOK_CLR_TP1_ID26915_CAM0_TP1_THR847_CN1585227673441415000_TCN-26915.png HTTP/1.1[0m" 200 -
